Time(ms),MotorCurrent,Position,Velocity,Acceleration
22244,325.00,103,1852.32,6963.58
22256,90.00,122,1603.10,-21027.22
22268,70.00,144,1853.10,21057.51
22280,285.00,164,1685.63,-14114.60
22292,190.00,185,1767.08,6853.90
22304,108.00,208,1940.44,14625.43
22315,129.00,232,2020.54,6743.99
22327,257.00,256,2021.56,86.01
22339,160.00,281,2103.49,6893.43
22354,2.00,315,2255.39,10076.15
22366,91.00,10,-25555.09,-2330161.69
22378,164.00,46,3011.80,2389934.43
22391,68.00,184,11149.71,657503.19
22403,272.00,211,2234.73,-737873.19
22415,68.00,232,1766.04,-39415.34
22426,153.00,259,2268.34,42198.96
22438,62.00,285,2183.22,-7146.94
22450,228.00,311,2177.19,-505.19
22462,0.00,337,2180.84,306.36
22476,236.00,368,2211.13,2160.12
22488,1.00,398,2517.20,25681.65
22500,134.00,426,2347.02,-14264.59
22512,175.00,450,2016.30,-27785.09
22524,152.00,478,2349.58,27967.29
22539,205.00,15,-30704.95,-2192090.89
22551,1.00,42,2266.62,2767929.47
22563,101.00,15,-2264.91,-380130.24
22575,259.00,22,587.05,239178.29
22587,142.00,48,2176.28,133023.12
22599,192.00,13,-2940.19,-429810.71
22611,57.00,43,2511.93,456511.75
22622,259.00,72,2430.64,-6813.24
22634,110.00,102,2510.46,6679.28
22646,188.00,131,2427.79,-6920.57
22658,48.00,159,2345.06,-6929.27
22670,246.00,188,2434.32,7492.39
22682,28.00,215,2270.24,-13795.72
22694,151.00,245,2516.36,20643.63
22706,69.00,274,2433.50,-6952.92
22721,121.00,34,-16020.29,-1231813.01
22733,124.00,7,-2285.62,1162674.58
